usd_gain,reward,PL_ratio,PL_count_mean,hold_ratio,slope_indicator,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-602.39,-25795.2758,0.667,1.329,0.694,1.0,0.0019,0.056,0.243,24,31,356,1.281
-678.4,-22816.9631,1.335,0.588,1.13,1.0,0.0008,0.243,0.499,30,22,46,1.175
-631.35,-20222.2533,2.5,0.298,1.887,1.0,0.0004,0.126,0.176,16,142,492,1.029
-561.23,-19350.6001,0.403,2.306,0.3,1.0,0.0057,0.136,0.047,29,21,20,1.404
-616.04,-19213.3129,1.612,0.501,1.278,1.0,0.0007,0.157,0.324,18,15,26,2.655
-580.48,-17344.3777,0.75,1.062,0.945,1.0,0.0012,0.059,0.011,28,80,405,2.783
-594.11,-17064.8392,0.347,2.559,0.254,1.0,0.0109,0.017,0.125,27,20,170,1.398
-497.19,-15608.5199,0.443,2.136,0.304,1.0,0.0121,0.257,0.027,24,92,141,1.003
-571.98,-14946.2602,0.536,1.622,0.495,1.0,0.0023,0.169,0.159,12,19,79,1.944
-532.79,-13835.3498,0.437,1.891,0.5,1.0,0.0024,0.016,0.021,13,97,74,5.804
-522.0,-13324.311,0.404,2.233,0.328,1.0,0.0043,0.139,0.143,3,26,232,1.331
-509.68,-13266.7108,0.642,1.375,0.609,1.0,0.0018,0.103,0.147,21,4,317,3.439
-541.28,-13061.2903,0.396,2.248,0.294,1.0,0.0078,0.118,0.034,20,24,460,2.538
-547.29,-12557.5675,4.037,0.195,2.05,1.0,0.0003,0.22,0.229,27,23,409,2.34
-529.92,-11407.4406,0.436,2.059,0.353,1.0,0.0042,0.042,0.316,18,24,167,1.063
-516.26,-11381.5502,4.326,0.19,2.868,1.0,0.0004,0.098,0.355,24,108,439,2.307
-490.97,-11178.5999,0.428,2.108,0.316,1.0,0.0061,0.068,0.075,22,17,284,2.768
-457.61,-10927.8474,0.598,1.545,0.504,1.0,0.0023,0.191,0.421,26,12,39,1.345
-568.89,-10901.8841,1.279,0.596,1.145,1.0,0.0009,0.38,0.239,12,16,146,2.345
-495.32,-10755.0529,0.516,1.679,0.525,1.0,0.0022,0.361,0.24,28,35,48,1.029
-540.68,-10478.0682,0.36,2.368,0.258,1.0,0.0122,0.04,0.152,23,23,284,1.844
-550.13,-10257.1721,3.615,0.217,2.848,1.0,0.0006,0.032,0.415,12,21,380,3.841
-537.9,-10130.4401,2.914,0.277,2.293,1.0,0.0006,0.109,0.261,21,14,270,4.033
-529.06,-10034.9775,2.98,0.257,2.004,1.0,0.0004,0.302,0.031,7,78,383,2.667
-492.86,-9942.1389,0.663,1.346,0.646,1.0,0.0023,0.019,0.508,16,55,264,1.662
-524.99,-9802.0823,4.042,0.194,2.628,1.0,0.0004,0.056,0.096,28,63,496,7.96
-529.35,-9713.3133,1.49,0.534,1.377,1.0,0.001,0.039,0.424,28,52,157,2.149
-453.92,-9653.1581,0.492,1.764,0.555,1.0,0.0021,0.121,0.139,31,11,478,1.447
-507.14,-9567.5254,1.661,0.468,1.982,1.0,0.0008,0.012,0.125,25,106,485,2.851
-513.48,-9519.0995,0.665,1.177,0.73,1.0,0.0018,0.011,0.087,13,100,336,5.727
-516.15,-9419.0216,0.472,1.854,0.371,1.0,0.0147,0.389,0.053,16,56,343,1.294
-476.31,-9253.073,0.708,1.128,1.147,1.0,0.0015,0.154,0.009,13,266,353,1.016
-510.1,-9204.9706,0.611,1.404,0.612,1.0,0.0024,0.005,0.188,16,85,70,4.195
