reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.82853935,0.0149,0.276,0.978,5,8,799,12.641
-0.44087245,0.0096,0.668,0.994,30,13,594,12.305
-0.33026754,0.0137,0.316,0.998,24,27,417,14.403
-0.29092714,0.0136,0.277,0.956,22,15,202,12.586
-0.2477033,0.0138,0.481,0.915,24,33,670,14.133
-0.24001329,0.0054,0.598,0.933,26,9,582,12.759
-0.22404699,0.0087,0.163,0.983,19,11,693,11.548
-0.21846434,0.0139,0.501,0.975,22,5,669,11.148
-0.20334928,0.0119,0.497,0.933,26,2,645,12.104
-0.16771742,0.0097,0.233,0.956,22,9,151,11.892
-0.16612792,0.0048,0.66,0.94,28,12,676,12.331
-0.16331935,0.0133,0.515,0.976,26,21,446,14.213
-0.1631957,0.0063,0.669,0.961,29,17,756,12.94
-0.15767315,0.0105,0.426,0.806,20,8,604,13.363
-0.14990861,0.0084,0.595,0.874,29,9,777,14.869
-0.1419692,0.005,0.429,0.902,24,23,877,12.617
-0.14134506,0.0108,0.496,0.801,20,8,604,13.175
-0.1342418,0.0073,0.312,0.962,25,11,946,14.143
-0.1321104,0.0075,0.448,0.692,24,5,625,11.109
-0.1296584,0.0133,0.537,0.996,8,36,252,13.568
-0.12711859,0.0082,0.279,0.978,5,8,779,12.641
-0.12576961,0.0068,0.5,0.855,28,11,565,13.892
-0.12284356,0.0055,0.372,0.837,20,11,691,13.541
-0.12025316,0.0069,0.635,0.818,29,18,427,12.402
-0.11949007,0.0091,0.497,0.876,29,7,685,11.795
-0.11805842,0.0038,0.334,0.704,26,6,888,14.295
-0.11635969,0.0091,0.554,0.875,23,7,641,13.946
-0.11543533,0.0136,0.539,0.937,30,8,744,14.899
-0.11537539,0.0115,0.553,0.991,27,8,792,12.968
-0.11379029,0.0121,0.392,0.746,24,11,814,13.293
-0.11376871,0.013,0.447,0.985,23,5,662,12.249
-0.11332257,0.0149,0.31,0.978,5,8,827,12.641
-0.11114056,0.0108,0.501,0.863,29,9,641,14.158
-0.10988048,0.0139,0.501,0.975,22,5,666,11.148
-0.10693321,0.0086,0.173,0.88,24,95,748,13.949
-0.10682866,0.01,0.231,0.778,22,11,387,10.764
-0.10667011,0.0078,0.58,0.941,26,10,554,13.295
-0.10631496,0.0106,0.5,0.89,29,12,915,14.73
-0.10473407,0.0093,0.276,0.647,24,4,857,12.384
-0.10375257,0.0106,0.5,0.936,30,22,441,14.924
-0.10306243,0.0076,0.341,0.991,22,10,113,10.202
-0.10284736,0.0065,0.377,0.754,11,5,519,14.397
-0.1021597,0.0139,0.327,0.997,24,24,387,14.78
-0.10139904,0.0111,0.53,0.787,28,7,732,13.451
-0.10000798,0.0069,0.397,0.799,24,44,599,13.677
-0.09677837,0.008,0.553,0.962,29,25,390,14.521
-0.09669256,0.0064,0.41,0.937,26,7,906,13.63
-0.09588283,0.0085,0.461,0.976,28,16,784,13.532
-0.09518125,0.0107,0.406,0.773,29,11,711,14.808
-0.09427227,0.0135,0.361,0.812,24,27,436,13.073
-0.09426678,0.0121,0.576,0.944,26,11,739,12.928
-0.09271748,0.0128,0.417,0.899,10,4,670,14.991
-0.09256433,0.0111,0.554,0.907,23,7,641,14.457
-0.09191583,0.0107,0.036,0.994,25,6,199,11.264
-0.09178975,0.0096,0.339,0.827,3,13,634,14.871
-0.09130315,0.0136,0.463,0.997,20,18,574,14.048
-0.09099238,0.0127,0.349,0.726,24,9,671,14.14
-0.09073662,0.0133,0.419,0.998,11,5,467,13.973
-0.09014029,0.0093,0.279,1.0,24,154,777,14.043
-0.0898124,0.0086,0.604,0.932,30,9,797,11.786
-0.08980448,0.0087,0.276,0.998,24,17,640,13.811
-0.08848763,0.0061,0.467,0.986,29,13,731,12.846
-0.08773937,0.0072,0.362,0.775,24,8,750,13.938
-0.08770142,0.0091,0.153,0.985,24,177,87,14.852
-0.08716284,0.0073,0.479,0.964,24,52,989,14.359
-0.08713453,0.0082,0.306,0.856,24,16,479,14.7
-0.0868033,0.0075,0.449,0.936,23,5,670,12.249
-0.08627673,0.0107,0.018,0.994,25,6,199,11.264
-0.08618229,0.0093,0.442,0.763,28,6,737,13.951
-0.08540691,0.007,0.253,0.923,22,20,743,14.199
-0.08514872,0.0034,0.384,0.791,10,5,625,13.683
-0.08492553,0.0078,0.364,0.812,26,5,886,14.538
-0.08384846,0.0134,0.307,0.808,24,12,529,13.476
-0.08346532,0.0097,0.348,0.928,24,30,597,14.796
-0.08317467,0.0136,0.464,0.997,20,18,574,13.188
-0.08279737,0.0045,0.511,0.772,29,11,752,14.421
-0.08257838,0.0086,0.458,0.756,20,7,657,14.059
-0.08250858,0.0096,0.508,0.886,27,5,711,14.482
-0.08231082,0.0069,0.678,0.999,29,13,477,11.59
-0.08200204,0.0123,0.414,0.866,28,17,856,14.991
-0.08186669,0.0077,0.472,0.719,29,5,743,10.433
-0.0809795,0.0091,0.397,0.912,24,10,497,11.006
-0.08093627,0.0107,0.412,0.74,29,6,711,14.808
-0.08051965,0.0028,0.438,0.982,5,8,779,12.218
-0.07917732,0.007,0.602,0.873,29,13,594,12.42
-0.07902755,0.009,0.41,0.996,24,16,477,10.447
-0.07819702,0.0087,0.378,0.769,26,11,727,14.851
-0.07791421,0.0122,0.569,0.997,23,10,423,12.458
-0.0778809,0.0055,0.215,0.908,4,9,643,13.616
-0.07760044,0.0106,0.357,0.928,24,30,638,13.817
-0.07653662,0.0112,0.49,0.906,29,10,671,13.19
-0.07628767,0.0082,0.479,0.724,24,5,647,11.249
-0.07624916,0.0075,0.448,0.692,24,5,696,10.967
-0.07608686,0.0121,0.388,0.849,25,11,806,14.974
