[-0.01742757],0.0149,0.152,0.825,10,782,360,13.717
[-0.00581385],0.0129,0.282,0.816,16,16,664,14.103
[-0.00302732],0.0135,0.321,0.788,9,3,673,12.612
[-0.00264072],0.0121,0.667,0.812,13,197,352,12.549
[-0.00174104],0.0129,0.107,0.695,12,51,576,14.6
[-0.00169281],0.0036,0.334,0.661,10,116,841,12.612
[-0.00157074],0.0131,0.295,0.816,17,55,664,14.29
[-0.00155472],0.0141,0.064,0.832,10,66,363,13.983
[-0.00145716],0.0092,0.068,0.838,27,556,682,13.979
[-0.00101969],0.013,0.282,0.816,17,55,664,14.288
[-0.00095752],0.0129,0.108,0.813,18,9,633,14.103
[-0.00082488],0.0135,0.32,0.788,9,3,673,12.612
[-0.00060819],0.0055,0.618,0.809,14,11,366,11.581
[-0.00059462],0.0092,0.667,0.811,13,124,352,12.549
[-0.00053154],0.0057,0.632,0.788,14,38,438,11.605
[-0.00052928],0.0124,0.509,0.896,14,17,678,14.0
[-0.00050491],0.0149,0.152,0.831,10,13,343,14.976
[-0.0004538],0.0096,0.092,0.669,18,9,633,14.107
[-0.00040429],0.0086,0.202,0.816,13,806,628,14.724
[-0.00032046],0.0147,0.601,0.822,13,138,435,13.737
[-0.00027073],0.0129,0.108,0.813,18,9,633,14.508
[-0.00025928],0.0128,0.108,0.813,18,9,633,14.103
[-0.00024793],0.0125,0.288,0.66,16,38,660,13.512
[-0.00022032],0.0055,0.632,0.715,15,38,447,13.497
[-0.00019319],0.0125,0.288,0.787,16,38,581,13.507
[-0.0001905],0.0055,0.632,0.661,14,38,357,11.605
[-0.00018006],0.0132,0.667,0.831,13,38,341,13.598
[-0.00014576],0.0135,0.32,0.788,10,3,672,12.612
[-0.00013618],0.0092,0.068,0.838,25,527,682,13.979
[-0.00013054],0.0037,0.108,0.788,18,42,633,14.103
[-0.00012862],0.0129,0.107,0.813,16,195,692,14.6
[-0.0001242],0.0133,0.064,0.832,10,66,336,13.983
